日付,勝ち負け,盗塁,先発,勝投手,負投手
05/21,○,0,ケイ,ケイ,小川 泰弘
05/22,○,0,ジャクソン,ジャクソン,小澤 怜史
05/23,○,1,石田 健大,石田 健大,高橋 奎二
05/24,●,0,東 克樹,島内 颯太郎,伊勢 大夢
05/25,●,1,中川 颯,黒原 拓未,三嶋 一輝
05/26,●,2,大貫 晋一,アドゥワ 誠,大貫 晋一
05/28,○,0,ケイ,ケイ,ポンセ
05/29,●,0,ジャクソン,内 星龍,ジャクソン
05/30,●,0,石田 健大,藤井 聖,石田 健大
05/31,○,0,東 克樹,森原 康平,河野 竜生
06/01,○,1,中川 颯,中川 虎大,田中 正義
06/02,●,0,大貫 晋一,福島 蓮,大貫 晋一
06/04,○,0,ケイ,ウィック,井口 和朋
06/05,●,1,ジャクソン,田嶋 大樹,ジャクソン
06/06,●,0,石田 健大,山田 修義,山? 康晃
06/07,●,0,森 唯斗,モイネロ,森 唯斗
06/08,●,1,東 克樹,松本 裕樹,森原 康平
06/09,○,0,石田 裕太郎,石田 裕太郎,和田 毅
06/11,○,1,ジャクソン,ジャクソン,小島 和哉
06/12,○,1,ケイ,ケイ,東妻 勇輔
06/13,○,1,大貫 晋一,大貫 晋一,西野 勇士
06/14,○,0,?口 遥大,?口 遥大,青山 美夏人
06/15,○,0,東 克樹,東 克樹,?橋 光成
06/16,○,0,石田 裕太郎,石田 裕太郎,渡邉 勇太朗
06/21,●,0,ジャクソン,石井 大智,ウィック
06/22,○,1,東 克樹,東 克樹,伊藤 将司
06/25,●,0,?口 遥大,山? 伊織,中川 虎大
06/27,○,0,平良 拳太郎,京山 将弥,ケラー
06/28,○,0,ジャクソン,ジャクソン,?橋 宏斗
06/29,○,0,東 克樹,東 克樹,大野 雄大
06/30,●,0,ケイ,齋藤 綱記,徳山 壮磨
07/02,○,1,石田 裕太郎,石田 裕太郎,吉村 貢司郎
07/03,●,0,?口 遥大,大西 広樹,森原 康平
07/04,○,0,平良 拳太郎,平良 拳太郎,ヤフーレ
07/05,○,2,ジャクソン,ウィック,石井 大智
07/06,●,2,森 唯斗,伊藤 将司,森 唯斗
07/07,●,0,ケイ,桐敷 拓馬,森原 康平
07/09,○,0,石田 裕太郎,徳山 壮磨,フェリス
07/10,○,0,東 克樹,東 克樹,松木平 優太
07/11,○,1,平良 拳太郎,森原 康平,齋藤 綱記
07/12,●,0,ジャクソン,大勢,京山 将弥
07/13,●,1,吉野 光樹,グリフィン,吉野 光樹
07/14,○,1,ケイ,ケイ,菅野 智之
07/15,○,0,?口 遥大,?口 遥大,アドゥワ 誠
07/17,●,0,東 克樹,森下 暢仁,東 克樹
07/19,○,0,ジャクソン,京山 将弥,金久保 優斗
07/20,●,0,石田 裕太郎,山本 大貴,中川 虎大
07/21,●,0,ケイ,小澤 怜史,坂本 裕哉
07/26,●,0,ジャクソン,船迫 大雅,ジャクソン
07/27,●,0,山? 康晃,井上 温大,山? 康晃
07/28,●,0,ケイ,菅野 智之,ケイ
07/30,●,0,?口 遥大,玉村 昇悟,?口 遥大
07/31,●,0,東 克樹,床田 寛樹,東 克樹
08/01,●,1,石田 裕太郎,島内 颯太郎,中川 虎大
08/02,●,0,ジャクソン,村上 頌樹,ジャクソン
08/03,○,1,吉野 光樹,山? 康晃,岩貞 祐太
08/04,●,0,ケイ,西 勇輝,ケイ
08/06,●,0,?口 遥大,?橋 宏斗,?口 遥大
08/07,△,1,東 克樹,,
08/08,○,0,ジャクソン,ジャクソン,松葉 貴大
08/09,○,0,石田 裕太郎,石田 裕太郎,高梨 裕稔
08/10,○,0,大貫 晋一,大貫 晋一,高橋 奎二
08/11,●,1,ケイ,大西 広樹,山? 康晃
08/12,●,0,森 唯斗,玉村 昇悟,森 唯斗
08/13,○,0,東 克樹,東 克樹,野村 祐輔
08/14,●,0,ジャクソン,塹江 敦哉,森原 康平
08/17,●,0,石田 裕太郎,井上 温大,石田 裕太郎
08/18,○,1,ケイ,ウィック,平内 龍太
08/20,○,0,大貫 晋一,中川 颯,?橋 宏斗
08/21,○,0,東 克樹,東 克樹,松木平 優太
08/22,●,0,ジャクソン,清水 達也,森原 康平
08/23,○,0,吉野 光樹,吉野 光樹,木澤 尚文
08/24,●,0,石田 裕太郎,高橋 奎二,石田 裕太郎
