日付,勝ち負け,盗塁,先発,勝投手,負投手
04/27,●,1,サイスニード,大竹 耕太郎,サイスニード
04/28,●,0,小澤 怜史,加治屋 蓮,大西 広樹
04/29,○,0,ヤフーレ,ヤフーレ,グリフィン
04/30,○,0,ロドリゲス,,
05/01,○,0,吉村 貢司郎,吉村 貢司郎,赤星 優志
05/03,○,0,小川 泰弘,大西 広樹,勝野 昌慶
05/04,△,0,サイスニード,,
05/05,●,0,小澤 怜史,?橋 宏斗,小澤 怜史
05/06,●,0,石川 雅規,三嶋 一輝,エスパーダ
05/08,○,0,吉村 貢司郎,吉村 貢司郎,石田 健大
05/10,●,0,ヤフーレ,戸郷 翔征,ヤフーレ
05/11,●,1,小川 泰弘,菅野 智之,小川 泰弘
05/12,○,1,サイスニード,山本 大貴,井上 温大
05/14,●,0,小澤 怜史,床田 寛樹,小澤 怜史
05/15,○,0,松本 健吾,松本 健吾,森下 暢仁
05/17,○,0,吉村 貢司郎,吉村 貢司郎,青柳 晃洋
05/18,●,0,ヤフーレ,ビーズリー,ヤフーレ
05/19,●,0,石川 雅規,才木 浩人,石川 雅規
05/21,●,2,小川 泰弘,ケイ,小川 泰弘
05/22,●,0,小澤 怜史,ジャクソン,小澤 怜史
05/23,●,0,高橋 奎二,石田 健大,高橋 奎二
05/24,○,2,サイスニード,山本 大貴,マルティネス
05/25,●,0,ヤフーレ,メヒア,ヤフーレ
05/26,●,1,松本 健吾,橋本 侑樹,松本 健吾
05/28,●,0,吉村 貢司郎,小島 和哉,吉村 貢司郎
05/29,△,0,小川 泰弘,,
05/30,△,1,高橋 奎二,,
05/31,●,2,サイスニード,渡辺 翔太,エスパーダ
06/01,●,0,ヤフーレ,松井 友飛,ヤフーレ
06/02,○,0,石川 雅規,石川 雅規,岸 孝之
06/04,○,1,吉村 貢司郎,田口 麗斗,松本 航
06/05,○,1,小川 泰弘,小川 泰弘,隅田 知一郎
06/06,○,0,高橋 奎二,高橋 奎二,菅井 信也
06/07,●,1,松本 健吾,矢澤 宏太,小澤 怜史
06/08,○,0,サイスニード,サイスニード,金村 尚真
06/09,○,1,ヤフーレ,木澤 尚文,田中 正義
06/11,●,0,吉村 貢司郎,有原 航平,吉村 貢司郎
06/12,○,0,山野 太一,山野 太一,大津 亮介
06/13,●,1,高橋 奎二,大関 友久,高橋 奎二
06/14,○,0,奥川 恭伸,奥川 恭伸,カスティーヨ
06/15,●,0,サイスニード,東 晃平,サイスニード
06/16,○,4,ヤフーレ,大西 広樹,マチャド
06/21,○,0,吉村 貢司郎,吉村 貢司郎,戸郷 翔征
06/22,○,1,サイスニード,大西 広樹,高梨 雄平
06/23,●,0,ヤフーレ,船迫 大雅,ヤフーレ
06/25,●,0,高橋 奎二,森下 暢仁,高橋 奎二
06/26,●,0,小川 泰弘,九里 亜蓮,小川 泰弘
06/27,●,0,石川 雅規,矢崎 拓也,田口 麗斗
06/29,○,1,奥川 恭伸,奥川 恭伸,伊藤 将司
06/30,○,1,サイスニード,木澤 尚文,漆原 大晟
07/02,●,0,吉村 貢司郎,石田 裕太郎,吉村 貢司郎
07/03,○,2,山野 太一,大西 広樹,森原 康平
07/04,●,0,ヤフーレ,平良 拳太郎,ヤフーレ
07/05,●,0,小川 泰弘,戸郷 翔征,小川 泰弘
07/06,●,0,高橋 奎二,グリフィン,高橋 奎二
07/07,●,0,サイスニード,菅野 智之,サイスニード
