日付,勝ち負け,盗塁,先発,勝投手,負投手
05/23,●,0,大瀬良 大地,福谷 浩司,大瀬良 大地
05/24,○,0,九里 亜蓮,九里 亜蓮,涌井 秀章
05/25,●,1,コルニエル,柳 裕也,コルニエル
05/26,○,1,黒原 拓未,島内 颯太郎,高梨 裕稔
05/27,○,0,森下 暢仁,森下 暢仁,ピーターズ
05/28,○,1,アンダーソン,アンダーソン,小川 泰弘
05/30,●,1,大瀬良 大地,山本 由伸,大瀬良 大地
05/31,○,0,九里 亜蓮,九里 亜蓮,黒木 優太
06/01,●,1,コルニエル,山下 舜平大,コルニエル
06/02,●,1,床田 寛樹,板東 湧梧,床田 寛樹
06/03,○,0,森下 暢仁,森下 暢仁,石川 柊太
06/04,●,1,アンダーソン,藤井 皓哉,栗林 良吏
06/06,○,0,大瀬良 大地,栗林 良吏,宮西 尚生
06/07,○,0,九里 亜蓮,九里 亜蓮,加藤 貴之
06/08,○,1,コルニエル,コルニエル,上沢 直之
06/09,○,1,床田 寛樹,床田 寛樹,西野 勇士
06/10,●,1,森下 暢仁,益田 直也,栗林 良吏
06/11,●,1,黒原 拓未,佐々木 朗希,黒原 拓未
06/13,●,0,大瀬良 大地,則本 昂大,大瀬良 大地
06/14,○,1,九里 亜蓮,矢崎 拓也,松井 裕樹
06/15,●,0,コルニエル,渡辺 翔太,島内 颯太郎
06/16,○,2,床田 寛樹,床田 寛樹,隅田 知一郎
06/17,○,2,森下 暢仁,森下 暢仁,?橋 光成
06/18,●,0,河野 佳,平良 海馬,河野 佳
06/23,●,0,九里 亜蓮,横川 凱,九里 亜蓮
06/24,○,1,大瀬良 大地,大瀬良 大地,メンデス
06/25,○,0,森 翔平,森 翔平,山? 伊織
06/27,○,0,床田 寛樹,ターリー,上茶谷 大河
06/28,○,0,森下 暢仁,森下 暢仁,石田 健大
06/29,○,1,野村 祐輔,ターリー,エスコバー
06/30,○,0,九里 亜蓮,九里 亜蓮,サイスニード
07/01,●,2,大瀬良 大地,ピーターズ,大瀬良 大地
07/02,●,0,森 翔平,高橋 奎二,森 翔平
07/04,○,0,床田 寛樹,床田 寛樹,西 勇輝
07/05,●,0,森下 暢仁,大竹 耕太郎,森下 暢仁
07/06,○,1,野村 祐輔,野村 祐輔,村上 頌樹
07/07,●,0,九里 亜蓮,小笠原 慎之介,九里 亜蓮
07/08,●,0,大瀬良 大地,メヒア,大瀬良 大地
07/09,○,1,森 翔平,森 翔平,涌井 秀章
07/11,●,1,床田 寛樹,山? 伊織,床田 寛樹
07/12,○,0,森下 暢仁,森下 暢仁,グリフィン
07/13,○,1,九里 亜蓮,大道 温貴,ビーディ
07/15,○,1,大瀬良 大地,栗林 良吏,山? 康晃
07/16,○,3,野村 祐輔,ターリー,伊勢 大夢
07/17,○,2,床田 寛樹,床田 寛樹,バウアー
07/22,○,1,森下 暢仁,森下 暢仁,勝野 昌慶
07/23,○,0,大瀬良 大地,大瀬良 大地,柳 裕也
07/25,○,0,九里 亜蓮,ターリー,石山 泰稚
07/26,○,0,森 翔平,森 翔平,高橋 奎二
07/27,○,0,床田 寛樹,床田 寛樹,石山 泰稚
07/28,●,0,野村 祐輔,村上 頌樹,野村 祐輔
07/29,△,3,森下 暢仁,,
07/30,●,1,大瀬良 大地,伊藤 将司,大瀬良 大地
08/01,●,1,九里 亜蓮,山? 康晃,栗林 良吏
08/02,○,0,森 翔平,森 翔平,?口 遥大
08/03,△,1,床田 寛樹,,
08/04,○,0,野村 祐輔,大道 温貴,中川 皓太
08/05,○,0,玉村 昇悟,玉村 昇悟,山? 伊織
08/06,●,0,大瀬良 大地,メンデス,大瀬良 大地
08/08,●,0,九里 亜蓮,山本 大貴,ターリー
08/09,●,0,森 翔平,ロドリゲス,森 翔平
08/10,●,2,床田 寛樹,ピーターズ,床田 寛樹
08/11,△,1,野村 祐輔,,
08/12,●,0,森下 暢仁,?橋 宏斗,森下 暢仁
08/13,●,1,遠藤 淳志,マルティネス,矢崎 拓也
08/15,○,4,大瀬良 大地,ターリー,馬場 皐輔
08/16,●,0,九里 亜蓮,大竹 耕太郎,九里 亜蓮
08/17,○,0,床田 寛樹,床田 寛樹,ビーズリー
08/18,●,1,森 翔平,菊地 大稀,矢崎 拓也
08/19,○,1,森下 暢仁,森下 暢仁,横川 凱
08/20,○,0,玉村 昇悟,玉村 昇悟,メンデス
08/22,○,0,九里 亜蓮,九里 亜蓮,今永 昇太
08/23,○,1,大瀬良 大地,大瀬良 大地,?口 遥大
08/24,●,0,床田 寛樹,東 克樹,床田 寛樹
08/25,○,1,森 翔平,栗林 良吏,清水 昇
08/26,○,0,森下 暢仁,アンダーソン,ピーターズ
08/27,△,1,黒原 拓未,,
08/29,○,0,九里 亜蓮,アドゥワ 誠,高梨 雄平
08/30,○,0,大瀬良 大地,大瀬良 大地,菅野 智之
08/31,●,0,床田 寛樹,赤星 優志,床田 寛樹
09/01,●,1,玉村 昇悟,藤嶋 健人,島内 颯太郎
09/02,○,0,森下 暢仁,森下 暢仁,?橋 宏斗
09/03,●,0,九里 亜蓮,柳 裕也,九里 亜蓮
09/05,○,1,森 翔平,中? 翔太,山? 康晃
09/06,○,0,大瀬良 大地,益田 武尚,中川 虎大
09/07,●,2,遠藤 淳志,東 克樹,遠藤 淳志
09/08,●,0,床田 寛樹,村上 頌樹,床田 寛樹
09/09,●,0,森下 暢仁,大竹 耕太郎,森下 暢仁
09/10,●,0,九里 亜蓮,伊藤 将司,九里 亜蓮
09/12,●,0,玉村 昇悟,サイスニード,玉村 昇悟
09/13,●,0,大瀬良 大地,吉村 貢司郎,大瀬良 大地
09/14,○,0,遠藤 淳志,大道 温貴,木澤 尚文
09/15,○,1,床田 寛樹,島内 颯太郎,加治屋 蓮
09/16,●,0,森下 暢仁,大竹 耕太郎,森下 暢仁
09/17,○,2,九里 亜蓮,九里 亜蓮,柳 裕也
09/18,●,1,森 翔平,勝野 昌慶,大道 温貴
09/20,●,0,大瀬良 大地,東 克樹,大瀬良 大地
09/23,○,0,森下 暢仁,森下 暢仁,菅野 智之
09/24,●,1,九里 亜蓮,小川 泰弘,九里 亜蓮
09/26,○,1,床田 寛樹,床田 寛樹,涌井 秀章
09/29,●,0,森下 暢仁,仲地 礼亜,森下 暢仁
09/30,○,1,九里 亜蓮,島内 颯太郎,加治屋 蓮
10/01,●,0,大瀬良 大地,岡留 英貴,床田 寛樹
03/29,●,0,九里 亜蓮,ウェンデルケン,島内 颯太郎
03/30,●,0,黒原 拓未,平良 拳太郎,黒原 拓未
03/31,○,1,アドゥワ 誠,アドゥワ 誠,大貫 晋一
04/02,○,1,床田 寛樹,島内 颯太郎,清水 昇
04/04,○,1,大瀬良 大地,中? 翔太,清水 昇
04/05,●,0,九里 亜蓮,柳 裕也,九里 亜蓮
04/06,●,0,ハッチ,涌井 秀章,ハッチ
04/07,●,1,黒原 拓未,メヒア,黒原 拓未
04/09,●,0,床田 寛樹,村上 頌樹,床田 寛樹
04/10,○,0,アドゥワ 誠,アドゥワ 誠,伊藤 将司
04/11,○,0,大瀬良 大地,島内 颯太郎,ゲラ
04/12,●,1,九里 亜蓮,泉 圭輔,九里 亜蓮
04/13,●,0,森下 暢仁,高梨 雄平,中? 翔太
04/14,●,1,ハッチ,高橋 礼,ハッチ
04/16,○,1,床田 寛樹,床田 寛樹,ジャクソン
04/17,○,1,アドゥワ 誠,塹江 敦哉,?口 遥大
04/19,△,0,九里 亜蓮,,
04/20,○,0,森下 暢仁,森下 暢仁,井上 温大
04/21,△,1,大瀬良 大地,,
04/23,○,0,床田 寛樹,床田 寛樹,吉村 貢司郎
04/25,●,0,ハッチ,石山 泰稚,栗林 良吏
04/27,○,2,森下 暢仁,森下 暢仁,梅津 晃大
04/28,△,1,九里 亜蓮,,
04/30,●,0,床田 寛樹,村上 頌樹,床田 寛樹
05/01,△,0,大瀬良 大地,,
05/03,●,0,アドゥワ 誠,東 克樹,アドゥワ 誠
05/04,○,0,森下 暢仁,森下 暢仁,ケイ
05/05,●,0,九里 亜蓮,大貫 晋一,九里 亜蓮
05/07,○,0,床田 寛樹,床田 寛樹,村上 頌樹
05/08,○,0,大瀬良 大地,大瀬良 大地,ゲラ
05/10,○,1,アドゥワ 誠,アドゥワ 誠,松葉 貴大
05/11,●,0,九里 亜蓮,柳 裕也,九里 亜蓮
05/14,○,0,床田 寛樹,床田 寛樹,小澤 怜史
05/15,●,1,森下 暢仁,松本 健吾,森下 暢仁
05/17,○,0,大瀬良 大地,大瀬良 大地,戸郷 翔征
05/18,○,0,九里 亜蓮,九里 亜蓮,赤星 優志
05/19,○,0,アドゥワ 誠,アドゥワ 誠,高橋 礼
05/21,○,0,床田 寛樹,床田 寛樹,村上 頌樹
05/22,●,1,森下 暢仁,大竹 耕太郎,森下 暢仁
05/23,●,1,ハッチ,西 勇輝,ハッチ
05/24,○,0,大瀬良 大地,島内 颯太郎,伊勢 大夢
05/25,○,5,玉村 昇悟,黒原 拓未,三嶋 一輝
05/26,○,3,アドゥワ 誠,アドゥワ 誠,大貫 晋一
05/28,○,1,床田 寛樹,床田 寛樹,エスピノーザ
05/29,○,0,森下 暢仁,森下 暢仁,田嶋 大樹
05/30,●,0,九里 亜蓮,古田島 成龍,矢崎 拓也
05/31,●,2,大瀬良 大地,松本 裕樹,島内 颯太郎
06/01,●,0,玉村 昇悟,大津 亮介,玉村 昇悟
06/02,●,0,アドゥワ 誠,長谷川 威展,島内 颯太郎
06/04,●,0,床田 寛樹,北山 亘基,床田 寛樹
06/05,○,0,森下 暢仁,森下 暢仁,伊藤 大海
06/06,○,0,九里 亜蓮,九里 亜蓮,鈴木 健矢
06/07,○,2,大瀬良 大地,大瀬良 大地,美馬 学
06/08,●,1,玉村 昇悟,佐々木 朗希,玉村 昇悟
06/09,○,0,アドゥワ 誠,島内 颯太郎,澤田 圭佑
06/11,○,3,床田 寛樹,床田 寛樹,今井 達也
06/12,●,0,森下 暢仁,隅田 知一郎,森下 暢仁
06/13,○,1,九里 亜蓮,九里 亜蓮,ボー・タカハシ
06/14,○,1,大瀬良 大地,森浦 大輔,宋 家豪
06/15,○,1,玉村 昇悟,玉村 昇悟,古謝 樹
06/16,●,0,アドゥワ 誠,弓削 隼人,アドゥワ 誠
06/21,●,2,床田 寛樹,?橋 宏斗,床田 寛樹
06/22,○,0,大瀬良 大地,大瀬良 大地,メヒア
06/23,●,0,玉村 昇悟,松山 晋也,島内 颯太郎
06/25,○,0,森下 暢仁,森下 暢仁,高橋 奎二
06/26,○,0,九里 亜蓮,九里 亜蓮,小川 泰弘
06/27,○,0,アドゥワ 誠,矢崎 拓也,田口 麗斗
06/28,●,0,床田 寛樹,高梨 雄平,栗林 良吏
06/29,○,1,大瀬良 大地,島内 颯太郎,バルドナード
06/30,●,0,玉村 昇悟,菅野 智之,玉村 昇悟
07/02,●,0,森下 暢仁,岩崎 優,島内 颯太郎
07/03,●,0,九里 亜蓮,大竹 耕太郎,九里 亜蓮
07/04,○,4,アドゥワ 誠,島内 颯太郎,島本 浩也
07/05,●,0,床田 寛樹,?橋 宏斗,床田 寛樹
07/06,●,1,大瀬良 大地,梅津 晃大,大瀬良 大地
07/07,●,0,玉村 昇悟,マルティネス,栗林 良吏
07/09,●,0,森下 暢仁,高梨 雄平,島内 颯太郎
07/12,○,0,床田 寛樹,床田 寛樹,石川 雅規
07/13,○,0,大瀬良 大地,黒原 拓未,田口 麗斗
07/15,●,0,アドゥワ 誠,?口 遥大,アドゥワ 誠
07/17,○,0,森下 暢仁,森下 暢仁,東 克樹
07/19,○,0,床田 寛樹,床田 寛樹,村上 頌樹
07/20,○,1,大瀬良 大地,森浦 大輔,富田 蓮
07/21,●,0,九里 亜蓮,西 勇輝,九里 亜蓮
07/26,○,0,ハッチ,黒原 拓未,山野 太一
07/27,●,0,森下 暢仁,高橋 奎二,森下 暢仁
07/28,●,0,九里 亜蓮,星 知弥,栗林 良吏
07/30,○,0,玉村 昇悟,玉村 昇悟,?口 遥大
07/31,○,0,床田 寛樹,床田 寛樹,東 克樹
08/01,○,0,大瀬良 大地,島内 颯太郎,中川 虎大
08/02,○,0,野村 祐輔,黒原 拓未,小笠原 慎之介
08/03,○,0,森下 暢仁,森下 暢仁,大野 雄大
08/04,○,0,九里 亜蓮,九里 亜蓮,根尾 昂
08/06,○,0,アドゥワ 誠,アドゥワ 誠,山? 伊織
08/07,△,1,床田 寛樹,,
08/08,●,0,大瀬良 大地,戸郷 翔征,大瀬良 大地
08/09,○,0,森 翔平,森 翔平,村上 頌樹
08/10,○,1,森下 暢仁,森下 暢仁,大竹 耕太郎
08/11,●,0,九里 亜蓮,?橋 遥人,九里 亜蓮
08/12,○,0,玉村 昇悟,玉村 昇悟,森 唯斗
08/13,●,0,野村 祐輔,東 克樹,野村 祐輔
08/14,○,0,床田 寛樹,塹江 敦哉,森原 康平
08/17,●,0,大瀬良 大地,高橋 奎二,大瀬良 大地
08/18,○,0,九里 亜蓮,九里 亜蓮,石川 雅規
08/20,○,0,森下 暢仁,森下 暢仁,山? 伊織
08/21,●,0,床田 寛樹,バルドナード,ハーン
08/22,○,0,アドゥワ 誠,島内 颯太郎,ケラー
08/23,●,1,玉村 昇悟,?橋 遥人,玉村 昇悟
08/24,○,0,大瀬良 大地,大瀬良 大地,門別 啓人
08/25,●,0,森 翔平,大竹 耕太郎,森 翔平
08/27,●,1,森下 暢仁,?橋 宏斗,森下 暢仁
08/28,○,0,床田 寛樹,床田 寛樹,小笠原 慎之介
08/29,●,0,九里 亜蓮,松葉 貴大,九里 亜蓮
08/31,○,1,大瀬良 大地,大瀬良 大地,高橋 奎二
09/01,○,0,玉村 昇悟,玉村 昇悟,高梨 裕稔
09/03,●,0,森下 暢仁,東 克樹,森下 暢仁
09/04,●,0,アドゥワ 誠,ジャクソン,アドゥワ 誠
09/05,●,2,床田 寛樹,坂本 裕哉,松本 竜也
09/06,●,0,大瀬良 大地,松葉 貴大,大瀬良 大地
09/07,○,0,九里 亜蓮,九里 亜蓮,福谷 浩司
09/08,●,0,玉村 昇悟,齋藤 綱記,玉村 昇悟
09/10,●,0,森下 暢仁,菅野 智之,森下 暢仁
